year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1951,836.9,2.299176,0,24.699999,-727.2574,-1.9979599,-28.063334,16.955416,44.75,-110.25
1952,579.9,1.5887672,0,19.7,-157.63757,-0.43188375,-22.646666,15.592917,44.75,-110.25
1953,711.39996,1.9543955,0,17.300001,11.832153,0.032505915,-20.49875,16.857502,44.75,-110.25
1954,728.1,2.0002747,0,18,-129.19702,-0.35493687,-19.265413,17.880417,44.75,-110.25
1955,779.89996,2.1425824,0,18.3,-688.8157,-1.8923508,-27.3925,18.786669,44.75,-110.25
1956,719.5,1.9712329,0,25.5,-286.0625,-0.7837329,-23.198746,16.992914,44.75,-110.25
1957,711.5,1.9546703,0,16.3,-324.28247,-0.8908859,-22.104998,16.688751,44.75,-110.25
1958,724.10004,1.9892858,0,17.100002,22.03418,0.06053346,-17.261248,16.853334,44.75,-110.25
1959,706.1,1.9398351,0,14.600002,-482.89703,-1.3266402,-28.444586,16.719997,44.75,-110.25
1960,704.8,1.9309589,0,19.400002,-405.8313,-1.1118666,-22.321665,18.324167,44.75,-110.25
1961,786.3,2.1601648,0,21.2,-359.4325,-0.9874519,-23.215418,17.936666,44.75,-110.25
1962,816.2,2.2423077,0,21.800001,-255.79492,-0.7027333,-26.932083,14.772082,44.75,-110.25
1963,722.5,1.9848901,0,24.899996,-15.697144,-0.04312402,-32.04875,16.711668,44.75,-110.25
1964,741.4,2.0312328,0,22.3,-485.43335,-1.3299544,-20.652916,16.95125,44.75,-110.25
1965,863.9,2.3733518,0,26.3,-402.09906,-1.1046678,-28.588333,16.717916,44.75,-110.25
1966,642.1,1.7640109,0,36.499996,-108.52612,-0.2981487,-21.300833,16.828333,44.75,-110.25
1967,816.7,2.2436814,0,17.900002,-184.44507,-0.5067172,-19.259167,15.867917,44.75,-110.25
1968,789.3,2.1624658,0,19.600002,-521.2208,-1.4280022,-26.56333,15.888753,44.75,-110.25
1969,669.3,1.8387362,0,18,-246.69281,-0.6777275,-26.213333,17.897081,44.75,-110.25
1970,825.2001,2.267033,0,21.1,-392.7658,-1.0790269,-24.621664,16.86167,44.75,-110.25
1971,810.1,2.2255495,0,26.899998,-464.58032,-1.2763196,-25.955002,16.680416,44.75,-110.25
1972,842.6,2.3084931,0,16.4,-448.6812,-1.2292635,-25.182081,16.217916,44.75,-110.25
1973,763.9,2.0986264,0,22.600006,-420.25342,-1.1545423,-26.3925,17.349167,44.75,-110.25
1974,803.8,2.2082417,0,22.399998,-210.23657,-0.577573,-24.675833,15.878334,44.75,-110.25
1975,910.3,2.5008242,0,26.799997,-664.1367,-1.8245515,-26.096664,16.642918,44.75,-110.25
1976,738.80005,2.0241098,0,15.900001,-140.58533,-0.38516527,-21.146666,17.411667,44.75,-110.25
1977,680.89996,1.8706043,0,27.3,-283.57007,-0.77903867,-22.777914,16.378332,44.75,-110.25
1978,852.3,2.3414836,0,31.500002,-53.55121,-0.1471187,-19.025831,16.372086,44.75,-110.25
1979,619.6,1.7021978,0,22.800001,-392.02002,-1.0769781,-30.998749,18.37,44.75,-110.25
1980,779.5,2.1356165,0,20.800001,-64.375,-0.17636986,-24.35708,16.599167,44.75,-110.25
1981,652.60004,1.7928573,0,27.200003,334.38623,0.9186435,-22.934164,16.13875,44.75,-110.25
1982,912.4,2.5065935,0,19,-484.33044,-1.3305781,-26.123749,15.844997,44.75,-110.25
1983,744,2.043956,0,22.300001,-81.50952,-0.22392726,-19.171665,18.772083,44.75,-110.25
1984,696.1,1.9071232,0,16.5,-599.76245,-1.6431848,-30.823751,15.678333,44.75,-110.25
1985,654.8,1.7989011,0,18.1,-523.5762,-1.4383961,-27.665415,16.190834,44.75,-110.25
1986,805.19995,2.2120879,0,22.7,-148.04077,-0.4067054,-21.211252,15.524166,44.75,-110.25
1987,525.4,1.4434067,0,19.7,263.21533,0.723119,-21.840416,15.203335,44.75,-110.25
1988,577.3,1.5816438,0,41.4,243.52087,0.6671805,-20.802917,18.097086,44.75,-110.25
1989,757.4,2.0807693,0,20.500004,-185.1825,-0.5087431,-26.259165,17.665833,44.75,-110.25
1990,688,1.8901099,0,27.100002,-24.857422,-0.06828962,-19.471666,17.547083,44.75,-110.25
1991,648.10004,1.7804946,0,22.600002,-207.14294,-0.56907403,-30.78,16.190834,44.75,-110.25
1941,1138.2,3.1269228,0,51.800003,-1990.097,-5.4672995,-20.706331,11.008248,37.92,-119.23
1942,872.60004,2.3972528,0,99.700005,-1709.3616,-4.6960483,-21.797998,10.983249,37.92,-119.23
1943,766.30005,2.1052198,0,102.4,-1388.645,-3.8149588,-20.866749,11.001999,37.92,-119.23
1944,762.4,2.0887673,0,66.399994,-1732.945,-4.747794,-20.350084,12.558249,37.92,-119.23
1945,1002.9,2.7476714,0,75.9,-1777.9221,-4.8710194,-22.400084,12.472832,37.92,-119.23
1946,746.19995,2.05,0,65.9,-1732.5474,-4.7597456,-21.331335,11.918666,37.92,-119.23
1947,564.69995,1.5513735,0,29.3,-1893.4595,-5.201812,-22.533417,10.558249,37.92,-119.23
1948,805.5,2.2068493,0,50.399998,-1564.2386,-4.2855854,-23.379248,10.3499155,37.92,-119.23
1949,801.7001,2.2024727,0,51.4,-1434.4199,-3.9407141,-28.306334,11.687417,37.92,-119.23
1950,1326.4,3.6439562,0,72.8,-639.25775,-1.7562026,-20.456831,13.772334,37.92,-119.23
1951,840.5,2.3090658,0,51.2,-640.41846,-1.7593913,-23.973501,13.251498,37.92,-119.23
1952,1443.6,3.9550683,0,82.399994,-950.3483,-2.603694,-22.079748,11.666084,37.92,-119.23
1953,787.5,2.1634614,0,44.2,-889.5373,-2.4437838,-18.175583,11.705667,37.92,-119.23
1954,913.4,2.5093408,0,71.299995,-391.70197,-1.0761043,-17.25683,13.578583,37.92,-119.23
1955,675.9,1.8568681,0,44.4,-936.9583,-2.5740614,-21.290165,13.147332,37.92,-119.23
1956,1144.3,3.1350687,0,80.90001,-878.33167,-2.406388,-19.790167,10.753583,37.92,-119.23
1957,871.9,2.3953297,0,45.8,-1040.1539,-2.8575656,-22.990166,11.5265,37.92,-119.23
1958,1293.3,3.5530221,0,85.30001,-594.09143,-1.6321193,-22.083916,12.149417,37.92,-119.23
1959,771.60004,2.1197803,0,87.10001,-189.55402,-0.5207528,-19.4485,13.434833,37.92,-119.23
1960,956.8,2.6213698,0,65.3,-672.36914,-1.8421072,-23.969332,13.503585,37.92,-119.23
1961,884.7,2.4304945,0,62.8,-735.8291,-2.0215085,-17.708914,12.739001,37.92,-119.23
1962,883.3999,2.4269228,0,84.09999,-641.78326,-1.7631408,-21.68808,11.745252,37.92,-119.23
1963,1146.3,3.149176,0,90.2,-715.1185,-1.9646113,-16.506832,10.993167,37.92,-119.23
1964,647.4,1.7736987,0,44.700005,-937.27545,-2.567878,-21.090166,13.943168,37.92,-119.23
1965,1400.3999,3.8472524,0,66.4,-949.5248,-2.6085846,-19.004751,10.589002,37.92,-119.23
1966,846.60004,2.3258243,0,74.70001,-578.9353,-1.5904816,-20.473497,13.718165,37.92,-119.23
1967,1181.7,3.2464285,0,62.3,-847.5144,-2.3283362,-18.854748,11.582749,37.92,-119.23
1968,722.4,1.9791782,0,38.9,-726.78784,-1.9911996,-25.794333,12.091084,37.92,-119.23
1969,1446.6001,3.9741762,0,91.09999,-851.3247,-2.3388042,-21.596415,13.049418,37.92,-119.23
1970,1087.3,2.987088,0,81.5,-648.4228,-1.7813812,-19.840166,13.678584,37.92,-119.23
1971,819.80005,2.252198,0,51.6,-981.7041,-2.6969893,-21.146416,13.174417,37.92,-119.23
1972,856,2.3452055,0,79.50001,-931.08154,-2.5509083,-18.502665,15.341083,37.92,-119.23
1973,1136.6,3.1225274,0,58.899998,-1021.65814,-2.8067532,-24.16725,12.332749,37.92,-119.23
1974,972.7,2.672253,0,70.8,-667.579,-1.8340082,-20.400583,11.086917,37.92,-119.23
1975,1161,3.1895604,0,78.799995,-1324.6519,-3.6391535,-22.04225,12.22025,37.92,-119.23
1976,609.19995,1.6690409,0,45.9,-506.4651,-1.3875756,-20.327667,12.005666,37.92,-119.23
1977,576.7,1.5843407,0,48.799995,-508.55804,-1.3971375,-19.4485,13.718167,37.92,-119.23
1978,1457.7,4.00467,0,79.200005,-678.7102,-1.8645885,-17.398499,13.801499,37.92,-119.23
1979,761.7001,2.0925827,0,53.7,-807.1831,-2.217536,-25.508917,14.7577505,37.92,-119.23
1980,1114.9,3.0545206,0,83.3,-568.02124,-1.5562226,-15.488084,13.974418,37.92,-119.23
1981,901.9,2.4777472,0,68.200005,-152.67908,-0.41944802,-19.877668,16.080667,37.92,-119.23
1982,1513.3999,4.157692,0,88.2,-895.1748,-2.4592714,-20.063082,12.339001,37.92,-119.23
1983,1633.5999,4.4879117,0,89.399994,-816.8583,-2.244116,-18.644331,13.843165,37.92,-119.23
1984,1067,2.9232876,0,57.299995,-616.42334,-1.6888311,-18.06933,13.086917,37.92,-119.23
1985,845.19995,2.3219779,0,55.000004,-733.3123,-2.0145943,-19.510998,13.764,37.92,-119.23
1986,1322.4001,3.6329675,0,89.200005,-410.4936,-1.1277297,-20.150583,12.268168,37.92,-119.23
1987,667.9,1.8348901,0,77.50001,-306.7456,-0.8427077,-23.044333,13.143168,37.92,-119.23
