year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1944,230.6,0.63178086,0,21.099998,2327.296,6.376153,-13.142498,25.68042,44.66626254,-107.9530022
1945,250.09999,0.68520546,0,15.300002,1928.25,5.2828765,-19.571665,26.27625,44.66626254,-107.9530022
1946,195.1,0.53598905,0,15.2,2177.6091,5.982443,-17.43,27.136667,44.66626254,-107.9530022
1947,233.40001,0.6412088,0,23.600004,1706.401,4.687915,-21.227915,28.726252,44.66626254,-107.9530022
1948,207.1,0.5673973,0,17.8,2397.9602,6.569754,-23.221672,27.567917,44.66626254,-107.9530022
1949,274,0.75274724,0,22.8,2295.2112,6.3055253,-26.521666,28.38875,44.66626254,-107.9530022
1950,236.5,0.64972526,0,13.1,2071.2292,5.6901903,-24.696753,26.144918,44.66626254,-107.9530022
1951,261.90002,0.71950555,0,21.099998,1953.2456,5.3660593,-27.28425,27.111582,44.66626254,-107.9530022
1952,184.6,0.50575346,0,18.3,2602.9944,7.1314917,-19.636333,26.346994,44.66626254,-107.9530022
1953,212.2,0.58296704,0,18.8,2740.1995,7.5280204,-13.090501,29.444918,44.66626254,-107.9530022
1954,180.90001,0.49697804,0,18.700003,2861.9976,7.862631,-19.878,30.288666,44.66626254,-107.9530022
1955,238,0.65384614,0,17.199999,2200.1099,6.0442576,-20.063416,28.511583,44.66626254,-107.9530022
1956,181.79999,0.49808216,0,12.5,2625.0444,7.1919026,-21.517584,26.536581,44.66626254,-107.9530022
1957,289.2,0.79450554,0,16.000002,2375.3455,6.5256743,-20.303,27.655334,44.66626254,-107.9530022
1958,189,0.5192308,0,10.099999,2726.8706,7.4914026,-15.025917,26.005331,44.66626254,-107.9530022
1959,261.6,0.71868134,0,26.5,2211.0977,6.0744443,-26.81967,27.149084,44.66626254,-107.9530022
1960,193.4,0.529863,0,21.499998,2563.2385,7.022571,-19.888416,29.019918,44.66626254,-107.9530022
1961,253,0.69505495,0,17.500002,2567.1934,7.052729,-19.515501,28.884499,44.66626254,-107.9530022
